review_week,total_reviews,negative_reviews,positive_reviews,negative_rate,rolling_negative_reviews_4w,rolling_total_reviews_4w,negative_rate_4w
2025-09-29,699,641,58,0.9170243204577968,NA,NA,NA
2025-10-06,253,222,31,0.8774703557312253,NA,NA,NA
2025-10-13,88,73,15,0.8295454545454546,NA,NA,NA
2025-10-20,104,85,19,0.8173076923076923,1021,1144,0.8924825174825175
2025-10-27,91,74,17,0.8131868131868132,454,536,0.8470149253731343
2025-11-03,86,70,16,0.813953488372093,302,369,0.8184281842818428
2025-11-10,93,69,24,0.7419354838709677,298,374,0.7967914438502673
2025-11-17,66,56,10,0.8484848484848485,269,336,0.8005952380952381
2025-11-24,439,227,212,0.5170842824601367,422,684,0.6169590643274854
2025-12-01,104,71,33,0.6826923076923077,423,702,0.6025641025641025
2025-12-08,116,97,19,0.8362068965517241,451,725,0.6220689655172413
2025-12-15,353,295,58,0.8356940509915014,690,1012,0.6818181818181818
2025-12-22,212,166,46,0.78301886792452835,629,785,0.8012738853503185
2025-12-29,170,119,51,0.7,677,851,0.7955346650998825
2026-01-05,117,82,35,0.7008547008547008,662,852,0.7769953051643192
2026-01-12,71,53,18,0.7464788732394366,420,570,0.7368421052631579
2026-01-19,57,39,18,0.6842105263157895,293,415,0.7060240963855422
2026-01-26,49,36,13,0.7346938775510204,210,294,0.7142857142857143
2026-02-02,32,25,7,0.78125,153,209,0.7320574162679426
2026-02-09,43,33,10,0.7674418604651163,133,181,0.7348066298342542
2026-02-16,160,90,70,0.5625,184,284,0.647887323943662
2026-02-23,188,118,70,0.6276595744680851,266,423,0.6288416075650118
2026-03-02,113,63,50,0.5575221238938053,304,504,0.6031746031746031
2026-03-09,79,53,26,0.6708860759493671,324,540,0.6
2026-03-16,63,41,22,0.6507936507936508,275,443,0.6207674943566591
2026-03-23,70,42,28,0.6,199,325,0.6123076923076923
2026-03-30,73,45,28,0.6164383561643836,181,285,0.6350877192982456
2026-04-06,92,51,41,0.5543478260869565,179,298,0.6006711409395973
2026-04-13,84,52,32,0.6190476190476191,190,319,0.5956112852664577
2026-04-20,79,68,11,0.8607594936708861,216,328,0.6585365853658537
2026-04-27,58,40,18,0.6896551724137931,211,313,0.6741214057507987
2026-05-04,48,29,19,0.6041666666666666,189,269,0.7026022304832714
2026-05-11,34,24,10,0.7058823529411765,161,219,0.7351598173515982
2026-05-18,48,31,17,0.6458333333333334,124,188,0.6595744680851063
2026-05-25,36,24,12,0.6666666666666666,108,166,0.6506024096385542
2026-06-01,77,46,31,0.5974025974025974,125,195,0.6410256410256411
2026-06-08,170,114,56,0.6705882352941176,215,331,0.649546827794562
2026-06-15,166,109,57,0.6566265060240963,293,449,0.6525612472160356
2026-06-22,109,66,43,0.6055045871559633,335,522,0.6417624521072797
2026-06-29,7,3,4,0.42857142857142855,292,452,0.6460176991150443
